Anno,Codice Istat,Comune,Densità
1990,23001,Affi,144,31
1990,23002,Albaredo d'Adige,174,2
1990,23003,Angiari,130,01
1990,23004,Arcole,247,57
1990,23005,Badia Calavena,80,64
1990,23006,Bardolino,110,08
1990,23007,Belfiore,99,02
1990,23008,Bevilacqua,130,69
1990,23009,Bonavigo,112,47
1990,23010,Boschi Sant'Anna,142,14
1990,23011,Bosco Chiesanuova,45,7
1990,23012,Bovolone,312,38
1990,23013,Brentino Belluno,48,32
1990,23014,Brenzone,47,01
1990,23015,Bussolengo,592,86
1990,23016,Buttapietra,255,5
1990,23017,Caldiero,464,59
1990,23018,Caprino Veronese,150,12
1990,23019,Casaleone,161,92
1990,23020,Castagnaro,126,37
1990,23021,Castel d'Azzano,942,42
1990,23022,Castelnuovo del Garda,226,89
1990,23023,Cavaion Veronese,272,54
1990,23024,Cazzano di Tramigna,97,8
1990,23025,Cerea,208,98
1990,23026,Cerro Veronese,138,45
1990,23027,Cologna Veneta,172,82
1990,23028,Colognola ai Colli,318,98
1990,23029,Concamarise,135,11
1990,23030,Costermano,139,93
1990,23031,Dolcè,69,08
1990,23032,Erbè,100,88
1990,23033,Erbezzo,24,62
1990,23034,Ferrara di Monte Baldo,6,77
1990,23035,Fumane,100,67
1990,23036,Garda,214,79
1990,23037,Gazzo Veronese,103,51
1990,23038,Grezzana,188,14
1990,23039,Illasi,180,9
1990,23040,Isola della Scala,150,82
1990,23041,Isola Rizza,156,95
1990,23042,Lavagno,333,42
1990,23043,Lazise,85,32
1990,23044,Legnago,333,22
1990,23045,Malcesine,52,3
1990,23046,Marano di Valpolicella,134,07
1990,23047,Mezzane di Sotto,90,55
1990,23048,Minerbe,155,68
1990,23049,Montecchia di Crosara,185,52
1990,23050,Monteforte d'Alpone,323,24
1990,23051,Mozzecane,172,4
1990,23052,Negrar,324,87
1990,23053,Nogara,198,22
1990,23054,Nogarole Rocca,88,89
1990,23055,Oppeano,148,4
1990,23056,Palù,80,01
1990,23057,Pastrengo,260,27
1990,23058,Pescantina,491,03
1990,23059,Peschiera del Garda,497,44
1990,23060,Povegliano Veronese,302,58
1990,23061,Pressana,135,68
1990,23062,Rivoli Veronese,93,11
1990,23063,Roncà,178,89
1990,23064,Ronco all'Adige,133,57
1990,23065,Roverchiara,130,52
1990,23066,Roveredo di Guà,122,34
1990,23067,Roverè Veronese,54,04
1990,23068,Salizzole,122,97
1990,23069,San Bonifacio,466,42
1990,23070,San Giovanni Ilarione,182,74
1990,23071,San Giovanni Lupatoto,1.054,06
1990,23072,Sanguinetto,309,6
1990,23073,San Martino Buon Albergo,380,43
1990,23074,San Mauro di Saline,47,25
1990,23075,San Pietro di Morubio,179,59
1990,23076,San Pietro in Cariano,523,13
1990,23077,Sant'Ambrogio di Valpolicella,396,13
1990,23078,Sant'Anna d'Alfaedo,57,09
1990,23079,San Zeno di Montagna,38,68
1990,23080,Selva di Progno,25,24
1990,23081,Soave,265,42
1990,23082,Sommacampagna,264,27
1990,23083,Sona,305,22
1990,23084,Sorgà,95,65
1990,23085,Terrazzo,125,77
1990,23086,Torri del Benaco,52,31
1990,23087,Tregnago,122,57
1990,23088,Trevenzuolo,88,33
1990,23089,Valeggio sul Mincio,146,42
1990,23090,Velo Veronese,44
1990,23091,Verona,1.300,71
1990,23092,Veronella,165,07
1990,23093,Vestenanova,104,85
1990,23094,Vigasio,194,67
1990,23095,Villa Bartolomea,102,07
1990,23096,Villafranca di Verona,466,54
1990,23097,Zevio,184,7
1990,23098,Zimella,196,28
1990,24001,Agugliaro,84,21
1990,24002,Albettone,89,43
1990,24003,Alonte,78,41
1990,24004,Altavilla Vicentina,473,9
1990,24005,Altissimo,122,62
1990,24006,Arcugnano,142,03
1990,24007,Arsiero,81,4
1990,24008,Arzignano,613,66
1990,24009,Asiago,41,45
1990,24010,Asigliano Veneto,105,43
1990,24011,Barbarano Vicentino,169,8
1990,24012,Bassano del Grappa,831,16
1990,24013,Bolzano Vicentino,226,2
1990,24014,Breganze,338,66
1990,24015,Brendola,214,11
1990,24016,Bressanvido,298,25
1990,24017,Brogliano,192,18
1990,24018,Caldogno,582,86
1990,24019,Caltrano,101,59
1990,24020,Calvene,106,85
1990,24021,Camisano Vicentino,252,37
1990,24022,Campiglia dei Berici,159,05
1990,24023,Campolongo sul Brenta,83,13
1990,24024,Carrè,320,67
1990,24025,Cartigliano,446,93
1990,24026,Cassola,869,1
1990,24027,Castegnero,184,26
1990,24028,Castelgomberto,269,56
1990,24029,Chiampo,506,14
1990,24030,Chiuppano,514,32
1990,24031,Cismon del Grappa,32,54
1990,24032,Cogollo del Cengio,85,26
1990,24033,Conco,81,59
1990,24034,Cornedo Vicentino,405,36
1990,24035,Costabissara,372,67
1990,24036,Creazzo,946,81
1990,24037,Crespadoro,43,18
1990,24038,Dueville,617,16
1990,24039,Enego,42,32
1990,24040,Fara Vicentino,241,04
1990,24041,Foza,22,98
1990,24042,Gallio,46,84
1990,24043,Gambellara,246,55
1990,24044,Gambugliano,89,31
1990,24045,Grancona,127,21
1990,24046,Grisignano di Zocco,231,67
1990,24047,Grumolo delle Abbadesse,207,17
1990,24048,Isola Vicentina,266,99
1990,24049,Laghi,7,7
1990,24050,Lastebasse,15,38
1990,24051,Longare,230,79
1990,24052,Lonigo,260,54
1990,24053,Lugo di Vicenza,243,56
1990,24054,Lusiana,82,24
1990,24055,Malo,364,01
1990,24056,Marano Vicentino,620,63
1990,24057,Marostica,347,52
1990,24058,Mason Vicentino,246,74
1990,24059,Molvena,304,85
1990,24060,Montebello Vicentino,251
1990,24061,Montecchio Maggiore,645,96
1990,24062,Montecchio Precalcino,297,28
1990,24063,Monte di Malo,110,31
1990,24064,Montegalda,157,58
1990,24065,Montegaldella,114,96
1990,24066,Monteviale,214,05
1990,24067,Monticello Conte Otto,820,12
1990,24068,Montorso Vicentino,293,61
1990,24069,Mossano,107,58
1990,24070,Mussolente,388,74
1990,24071,Nanto,136,46
1990,24072,Nogarole Vicentino,89,92
1990,24073,Nove,583,52
1990,24074,Noventa Vicentina,343,2
1990,24075,Orgiano,161,29
1990,24076,Pedemonte,63,08
1990,24077,Pianezze,362,17
